ka,hi,en
歯,は,tooth
,パーティー,party
,はい,yes
灰皿,はいざら,ashtray
入る,はいる,"to enter,to contain"
葉書,はがき,postcard
,はく,"to wear,to put on trousers"
箱,はこ,box
橋,はし,bridge
,はし,chopsticks
始まる,はじまる,to begin
初め/始め,はじめ,beginning
初めて,はじめて,for the first time
走る,はしる,to run
,バス,bus
,バター,butter
二十歳,はたち,"20 years old,20th year"
働く,はたらく,to work
八,はち,eight
二十日,はつか,"twenty days,twentieth"
花,はな,flower
鼻,はな,nose
話,はなし,"talk,story"
話す,はなす,to speak
早い,はやい,early
速い,はやい,quick
春,はる,spring
貼る,はる,to stick
晴れ,はれ,clear weather
晴れる,はれる,to be sunny
半,はん,half
晩,ばん,evening
,パン,bread
,ハンカチ,handkerchief
番号,ばんごう,number
晩御飯,ばんごはん,evening meal
半分,はんぶん,half minute